title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Jr Data Analyst,One Park Financial,Nan,onsite,NaN,"Miami, FL","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-18,https://www.linkedin.com/jobs/view/jr-data-analyst-at-one-park-financial-3627893035?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=ovlB5xEhG8e1S9KimegqBw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst-Entry level.,Flexon Technologies Inc.,Nan,onsite,NaN,"Pleasanton, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-02,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-flexon-technologies-inc-3625483990?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=HW7WYGTvWCecp5VOtH5exA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Level 2,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-level-2-at-lockheed-martin-3611847539?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=FJDx7tQM9VK%2F%2FBNM7mRv2g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr data analyst,"KGS Technology Group, Inc",Nan,onsite,NaN,"San Jose, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-26,https://www.linkedin.com/jobs/view/jr-data-analyst-at-kgs-technology-group-inc-3617003884?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=2IS5u6qfUJ0B7nJC6Uwodw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Alchemy Worx,Nan,onsite,NaN,"New York, United States","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-alchemy-worx-3622757648?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=ChfPEPfWYpHvRaJTCs4hsQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Python/SQL Data Analyst,Bardess Group Ltd,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Services'}]",2023-05-15,https://www.linkedin.com/jobs/view/python-sql-data-analyst-at-bardess-group-ltd-3607784565?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=bnpxyRVRQoYw0hs718bJ1A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3611846593?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=smLpzCDFoGB0l6fZ1L%2FVjQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Allnessjobs,Nan,onsite,NaN,"Tennessee, United States","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Human Resources Services'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-allnessjobs-3627638321?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=tGYuOgxUbU6JWCMb4z6vZw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-25,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3617962147?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=e9s%2BdHgCc6HoQHC1%2B6FYng%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Futran Solutions,Nan,onsite,NaN,"Redmond, WA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-16,https://www.linkedin.com/jobs/view/data-analyst-at-futran-solutions-3607085745?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=Rs3bbv9cWdU5pYpFtw0rOQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
